campus,lat,lon
Aguascalientes,21.933073,-102.33936
Central de Veracruz,18.890775,-96.979076
Chiapas,16.764999,-93.200847
Chihuahua,28.675435,-106.081254
Ciudad de México,28.675435,-106.081254
Ciudad Juárez,31.715719,-106.394402
Ciudad de Obregón,27.532158,-109.943381
Cuernavaca,18.804650,-99.221843
Estado de México,19.595002,-99.227562
Guadalajara,20.735125,-103.455304
Hidalgo,20.095838,-98.765945
Irapuato,20.686724,-101.394805
Laguna,25.517228,-103.397719
León,21.166065,-101.715630
Monterrey,25.650669,-100.289338
Morelia,19.656362,-101.163995
Puebla,19.018237,-98.2435737
Saltillo,25.446449,-100.975692
San Luis Potosí,22.127430,-101.038446
Santa Fe,19.358762,-99.258514
Sinaloa,24.801389,-107.421489
Sonora Norte,29.169746,-110.911247
Tampico,22.381341,-97.901975
Toluca,19.267847,-99.706133
Zacatecas,22.761605,-102.535633
